# Re_Psi, Im_Psi, Time
3.709273182957391057e-01 8.119473063042852157e-02 9.299816556073626783e-01
3.909774436090227567e-01 6.379763269894653602e-03 9.263942368545864392e-01
4.110275689223055195e-01 -6.731499870574124411e-02 9.165288720320428073e-01
4.310776942355882824e-01 -1.393445774421384620e-01 9.005551182136594113e-01
4.511278195488719334e-01 -2.091859665361063270e-01 8.786911455924550918e-01
4.711779448621555844e-01 -2.763425600562204876e-01 8.512010463829770002e-01
4.912280701754383472e-01 -3.403482592019911324e-01 8.183917340731881040e-01
5.112781954887211100e-01 -4.007712183934168948e-01 7.806094713595089774e-01
5.313283208020047610e-01 -4.572171971412021807e-01 7.382360686625210056e-01
5.513784461152884120e-01 -5.093324889349140072e-01 6.916847981405241930e-01
5.714285714285711748e-01 -5.568064035365631881e-01 6.413960705643856341e-01
5.914786967418539376e-01 -5.993732844127586112e-01 5.878329242684336986e-01
6.115288220551375886e-01 -6.368140485105038273e-01 5.314763766350919516e-01
6.315789473684212396e-01 -6.689572411100714877e-01 4.728206892002101425e-01
6.516290726817040024e-01 -6.956796040038187856e-01 4.123685974844030211e-01
6.716791979949867653e-01 -7.169061606843161183e-01 3.506265560738352494e-01
6.917293233082704162e-01 -7.326098275130491499e-01 2.881000483099906417e-01
7.117794486215540672e-01 -7.428105649196069526e-01 2.252890082275104677e-01
7.318295739348368301e-01 -7.475740874919527545e-01 1.626834001344380498e-01
7.518796992481195929e-01 -7.470101563070545847e-01 1.007589984985713394e-01
7.719298245614032439e-01 -7.412704809690663366e-01 3.997340763096770416e-02
7.919799498746868949e-01 -7.305462625264118603e-01 -1.923764290828098786e-02
8.120300751879696577e-01 -7.150654116929061610e-01 -7.646369516323357762e-02
8.320802005012524205e-01 -6.950894795714470664e-01 -1.313226240661942990e-01
8.521303258145360715e-01 -6.709103403487780559e-01 -1.834633397413275857e-01
8.721804511278197225e-01 -6.428466671803275689e-01 -2.325681119989624901e-01
8.922305764411024853e-01 -6.112402437063173544e-01 -2.783545028794108811e-01
9.122807017543852481e-01 -5.764521543324407915e-01 -3.205768978372547928e-01
9.323308270676688991e-01 -5.388588965755318760e-01 -3.590276308740272260e-01
9.523809523809525501e-01 -4.988484584286240198e-01 -3.935377035710592164e-01
9.724310776942353129e-01 -4.568164028587848313e-01 -4.239771024894967155e-01
9.924812030075180758e-01 -4.131620002392752955e-01 -4.502547237388147550e-01
1.012531328320801727e+00 -3.682844477644112158e-01 -4.723179176201039997e-01
1.032581453634085378e+00 -3.225792127354716876e-01 -4.901516700817928895e-01
1.052631578947368141e+00 -2.764345340778690541e-01 -5.037774412439578464e-01
1.072681704260650903e+00 -2.302281135959705904e-01 -5.132516844188499405e-01
1.092731829573934554e+00 -1.843240253377437521e-01 -5.186640718511802417e-01
1.112781954887218205e+00 -1.390698680743856219e-01 -5.201354557992116101e-01
1.132832080200500968e+00 -9.479418234946571098e-02 -5.178155955598567894e-01
1.152882205513783731e+00 -5.180414986780380177e-02 -5.118806825967958662e-01
1.172932330827067382e+00 -1.038358922637160064e-02 -5.025306970550019736e-01
1.192982456140351033e+00 2.920874181255874585e-02 -4.899866296386581332e-01
1.213032581453633796e+00 6.674053109367399095e-02 -4.744876030985167303e-01
1.233082706766916559e+00 1.020069812012000948e-01 -4.562879274308586086e-01
1.253132832080200210e+00 1.348315638893526625e-01 -4.356541223498536786e-01
1.273182957393483861e+00 1.650664642251062908e-01 -4.128619396794091512e-01
1.293233082706766623e+00 1.925927221511325171e-01 -3.881934170447048915e-01
1.313283208020049386e+00 2.173200822527103504e-01 -3.619339926564303922e-01
1.333333333333333037e+00 2.391865653410786274e-01 -3.343697091041653024e-01
1.353383458646616688e+00 2.581577780215531526e-01 -3.057845319438807774e-01
1.373433583959899451e+00 2.742259786767730634e-01 -2.764578065146836017e-01
1.393483709273182214e+00 2.874089202473354421e-01 -2.466618738895897112e-01
1.413533834586465865e+00 2.977484918222036980e-01 -2.166598641930153613e-01
1.433583959899749516e+00 3.053091823526176141e-01 -1.867036827428487922e-01
1.453634085213032279e+00 3.101763907733720571e-01 -1.570322016361971607e-01
1.473684210526315042e+00 3.124546074562575826e-01 -1.278696665331908733e-01
1.493734335839598693e+00 3.122654922383851783e-01 -9.942432553928307049e-02
1.513784461152882344e+00 3.097458742731801218e-01 -7.188728427831624079e-02
1.533834586466165106e+00 3.050456986578070628e-01 -4.543158851918437796e-02
1.553884711779447869e+00 2.983259442147677687e-01 -2.021153309861795436e-02
1.573934837092731520e+00 2.897565359673902052e-01 3.637806600899340641e-03
1.593984962406015171e+00 2.795142747714089437e-01 2.600082668118412071e-02
1.614035087719297934e+00 2.677808052724312549e-01 4.678143846877651918e-02
1.634085213032580697e+00 2.547406418780747139e-01 6.590291410660630012e-02
1.654135338345864348e+00 2.405792707914446715e-01 8.330754586090316494e-02
1.674185463659147999e+00 2.254813443776908788e-01 9.895613250409103501e-02
1.694235588972430762e+00 2.096289822563189020e-01 1.128273073971911150e-01
1.714285714285713524e+00 1.932001915573828554e-01 1.249167239199758528e-01
1.734335839598997175e+00 1.763674167778417068e-01 1.352361146829725580e-01
1.754385964912280826e+00 1.592962276526453946e-01 1.438122415047674296e-01
1.774436090225563589e+00 1.421441514398308070e-01 1.506857534562315026e-01
1.794486215538846352e+00 1.250596540349193098e-01 1.559099703683768379e-01
1.814536340852130003e+00 1.081812724003690385e-01 1.595496090831543534e-01
1.834586466165413654e+00 9.163689894198888408e-02 1.616794694094379758e-01
1.854636591478696417e+00 7.554321670520058873e-02 1.623830962444598736e-01
1.874686716791979180e+00 6.000528261669862279e-02 1.617514336504634886e-01
1.894736842105262831e+00 4.511625447586763149e-02 1.598814858550512419e-01
1.914786967418546482e+00 3.095725601730436524e-02 1.568749991903292673e-01
1.934837092731829244e+00 1.759737313051875501e-02 1.528371779199269587e-01
1.954887218045112007e+00 5.093773242425825298e-03 1.478754457441017744e-01
1.974937343358395658e+00 -6.508061052781467445e-03 1.420982635413498285e-01
1.994987468671679309e+00 -1.717399379109111127e-02 1.356140126199528173e-01
2.015037593984962072e+00 -2.688080313572649774e-02 1.285299514340038085e-01
2.035087719298244835e+00 -3.561566528397483444e-02 1.209512523842787707e-01
2.055137844611528486e+00 -4.337556577634037874e-02 1.129801239925737055e-01
2.075187969924812137e+00 -5.016664933329356008e-02 1.047150224254323747e-01
2.095238095238094900e+00 -5.600351933545671956e-02 9.624995506492846353e-02
2.115288220551377663e+00 -6.090849792041826832e-02 8.767387759433312167e-02
2.135338345864661314e+00 -6.491085740364126166e-02 7.907018489757186575e-02
2.155388471177944965e+00 -6.804603335326078750e-02 7.051629497427240600e-02
2.175438596491227727e+00 -7.035482917085630894e-02 6.208332405620957395e-02
2.195488721804510490e+00 -7.188262146502835681e-02 5.383585018369162895e-02
2.215538847117794141e+00 -7.267857486464995853e-02 4.583176166785871836e-02
2.235588972431077792e+00 -7.279487421700776839e-02 3.812218613130956280e-02
2.255639097744360555e+00 -7.228598136566809218e-02 3.075149518767463300e-02
2.275689223057643318e+00 -7.120792291657621065e-02 2.375737929192367828e-02
2.295739348370926969e+00 -6.961761459102566718e-02 1.717098686708923988e-02
2.315789473684210620e+00 -6.757222694259999718e-02 1.101712148812375620e-02
2.335839598997493383e+00 -6.512859639323662075e-02 5.314490676975696694e-03
2.355889724310776145e+00 -6.234268473167091373e-02 7.599973073458899709e-05
2.375939849624059796e+00 -5.926908942531825680e-02 -4.690916038062896420e-03
2.395989974937343447e+00 -5.596060633284112573e-02 -8.983927228918522218e-03
2.416040100250626210e+00 -5.246784567694374318e-02 -1.280542091040579901e-02
2.436090225563908973e+00 -4.883890145203527433e-02 -1.616209208011954931e-02
2.456140350877192624e+00 -4.511907380494357273e-02 -1.906452204981792450e-02
